English;German
to advocate for, to campaign for;sich einsetzen für
to apologize;sich entschuldigen
to apply (for);sich bewerben (um)
to apply for, to request;beantragen
to argue;sich streiten
to arrange to meet, to make a date;sich verabreden
to arrange, to schedule (an appointment);vereinbaren
to ask a question;eine Frage stellen
to attach;anhängen
to audition/speak beforehand;vorsprechen
to avoid;vermeiden
to bare the upper body;den Oberkörper frei machen
to bathe, to swim;baden
to be afraid/have fear;Angst haben
to be annoyed (about), to get angry (about);sich ärgern (über)
to be correct;stimmen
to be fat, overweight;dick sein
to be friends;befreundet sein
to be interested (in);sich interessieren (für)
to be on, to be going on;los sein
to be over, to end;zu Ende sein
to be pleased, to look forward to;sich freuen
to be present, to participate;dabei sein
to be reachable/available;erreichbar sein
to be responsible for;zuständig sein
to be slim;schlank sein
to bloom, to blossom;blühen
to book;buchen
to break down, to break;kaputt gehen
to call back;zurückrufen
to change, exchange (money);wechseln
to chat;chatten
to check emails;E-Mails checken
to check in;einchecken
to check, to examine;prüfen
to clean;putzen
to close;schließen
to come by, to stop by;vorbeikommen
to comfort, to console;trösten
to complain, to make a claim;reklamieren
to conclude, to take out (e.g., insurance);abschließen
to connect;verbinden
to consider, to think over;überlegen (sich)
to converse, to talk, to entertain oneself;sich unterhalten
to cry;weinen
to delete/erase;löschen
to depart, to take off (flight);abfliegen
to deposit, pay in;einzahlen
to dial a wrong number;sich verwählen
to discuss;besprechen
to do detention;nachsitzen
to do sports, to exercise;Sport treiben
to do the housework;den Haushalt machen
to do things;Dinge tun
to do without, to go without;verzichten (auf)
to dream (of);träumen (von)
to dress up, to wear a costume;sich verkleiden
to drill;bohren
to eat, to nourish oneself (focus on diet);sich ernähren
to end/quit;beenden
to exchange rings;Ringe tauschen
to experience;erleben
to fall;fallen
to fall in love;sich verlieben
to feel;sich fühlen
to feel comfortable;sich wohlfühlen
to finance;finanzieren
to gain experience;Erfahrungen machen
to gain weight;zunehmen
to get involved, to commit oneself;sich engagieren
to get to know each other;sich kennenlernen
to get to know/meet;kennenlernen
to give (as a gift);schenken
to hang up;auflegen
to hang, to be hanging;hängen
to harm, to damage;schaden
to have (something done), to let;lassen
to have a long breakfast;lange frühstücken
to have courage/be brave;Mut haben
to have good/bad memories;gute/schlechte Erinnerungen haben
to have peace and quiet;Ruhe haben
to have worries, to be worried;Sorgen haben
to help each other;sich gegenseitig helfen
to hope;hoffen
to inform oneself (about), to get information (on);sich informieren (über)
to inform, to let someone know;Bescheid sagen
to insert (e.g., coins), to throw in;einwerfen
to install;installieren
to introduce, to imagine;vorstellen
to invest, to set up (e.g., an account);anlegen
to iron;bügeln
to kiss each other;sich küssen
to know;wissen
to last;dauern
to laugh;lachen
to lay, to put down (horizontal);legen
to learn by heart/memorize;auswendig lernen
to leave a message;eine Nachricht hinterlassen
to leave/abandon;verlassen
to lie, to be located (horizontal);liegen
to look forward (to) / to be happy (about);sich freuen (auf/über)
to lose;verlieren
to lose weight;abnehmen
to manage/achieve/create;schaffen
to measure blood pressure;den Blutdruck messen
to miss (a person or thing);vermissen
to motivate;motivieren
to move out;ausziehen
to move, to exercise;sich bewegen
to notice;merken
to offer;anbieten
to open;öffnen
to open (an account);eröffnen
to order;bestellen
to paint, to apply (paint);streichen
to participate (in);teilnehmen (an)
to pass (an exam);bestehen
to pass on a message;etwas ausrichten
to pay;bezahlen
to place, to put (vertical);stellen
to plan;planen
to postpone an appointment;einen Termin verschieben
to practice/exercise;üben
to prescribe;verschreiben
to press;drücken
to print;drucken
to put on (clothes), to attract;anziehen
to recognize, to acknowledge;anerkennen
to recommend;empfehlen
to register, to enroll (for);sich anmelden (für)
to relax;sich entspannen
to rely on, to depend on;sich verlassen auf
to remember;sich erinnern
to renovate, to refurbish;renovieren
to rent out, to let;vermieten
to repair;reparieren
to repeat after/echo;nachsprechen
to report;berichten
to research on the internet;im Internet recherchieren
to reserve;reservieren
to retain/remember new words;neue Wörter behalten
to run (quickly);rennen
to run/play: the radio is playing;laufen: das Radio läuft
to save/store;speichern
to select/choose;auswählen
to send;senden
to send off/submit;abschicken
to separate, to break up;sich trennen
to separate, to divide;trennen
to sew;nähen
to share;teilen
to show;zeigen
to smile;lächeln
to speak (about);sprechen (über)
to spend (time);verbringen
to spend together;gemeinsam verbringen
to stand out, to be noticeable;auffallen
to stand, to be standing;stehen
to stick together through thick and thin;durch dick und dünn gehen
to stick together, to hold together;zusammenhalten
to suggest;vorschlagen
to take (medicine);einnehmen
to take a blood sample;Blut abnehmen
to take a seat;Platz nehmen
to take care of, to look after;kümmern (sich)
to talk on the phone (with);telefonieren (mit)
to tell (a story);erzählen
to tell/narrate;erzählen
to there, thither;dorthin
to think;denken
to think (of, about);denken (an)
to throw rice;Reis werfen
to train, to work out;trainieren
to transfer (money);überweisen
to transport;transportieren
to trust;vertrauen
to try out/test;ausprobieren
to turn off, switch off;ausschalten
to turn on, switch on;einschalten
to understand each other, to get along;sich verstehen
to undertake, to do (an activity);unternehmen
to vaccinate (against);impfen (gegen)
to wait (for);warten (auf)
to walk, to run;laufen
to wallpaper;tapezieren
to wear, to carry;tragen
to withdraw (cash);abheben
to work full-time;in Vollzeit arbeiten
to work out, to succeed;klappen
to work part-time;in Teilzeit arbeiten
to work together, to collaborate;zusammenarbeiten
together;zusammen
Together or separately?;Zusammen oder getrennt?
together, joint;gemeinsam
together, jointly;gemeinsam
toilet, water closet;das WC, -s
too bad, a pity;schade
toothbrush;die Zahnbürste, -n
tour, guided walk;der Rundgang, -¨e
tourism;der Tourismus, Sg.
towel;das Handtuch, -¨er
trade office, business registration office;das Gewerbeamt, -¨er
traffic jam;der Stau, -s
training, apprenticeship;die Ausbildung, -en
travel destination;das Reiseziel, -e
travel document;das Reisedokument, -e
travel guide (book or person);der Reiseführer, -
travel time, journey time;die Reisezeit, Sg.
traveler;der/die Reisende, -n
tutoring, extra lessons;die Nachhilfe, Sg.
typical;typisch
