English;German
to pay attention (to) / to watch (for);achten (auf)
to pay back / to repay;zurückzahlen
to pet / to stroke;streicheln
to play a role;eine Rolle spielen
to please / to like / to be pleasing;gefallen
to pollute / to contaminate;verschmutzen
to possess / to own;besitzen
to post;posten
to postpone / to shift / to move;verschieben
to pour / to water / to cast;gießen
to prefer / to favor / to advance;vorziehen
to prescribe (medicine) / to make a writing mistake;verschreiben
to prescribe / to dictate / to require;vorschreiben
to prevent / to avoid;verhindern
to print out;ausdrucken
to produce;produzieren
to profit / to benefit;profitieren
to protect;schützen
to publish / to release;veröffentlichen
to pull / to move / to raise;ziehen
to put / to place / to set (here: to ask the question);stellen (hier: die Frage stellen)
to put on / to dress / to attract;anziehen
to qualify;qualifizieren
to question / to interview / to interrogate;befragen
to raise / to educate / to bring up;erziehen
to raise / to move / to pull;ziehen
to rate / to evaluate / to assess;bewerten
to reach / to achieve / to attain;erreichen
to read;lesen
to read aloud;vorlesen
to receive / to obtain / to maintain;erhalten
to recognize / to acknowledge / to accept;anerkennen
to recognize / to see / to realize;erkennen
to recommend;empfehlen
to recommend / to pass on recommendation;weiterempfehlen
to record / to take up / to admit;aufnehmen
to recycle;recyceln
to reduce / to lower;reduzieren
to refill / to top up;nachfüllen
to refuel / to fill up;tanken
to regulate / to arrange / to settle;regeln
to release / to clear / to de-restrict;freigeben
to remember / to recall;sich erinnern
to report (oneself) / to get in touch;melden (sich)
to represent;repräsentieren
to represent / to act on behalf of;vertreten
to resolve / to clear out / to dispel;ausräumen
to rest / to recover;ausruhen (sich)
to revoke / to cancel / to withdraw;widerrufen
to ride (horse);reiten
to rise / to climb / to increase;steigen
to rise / to increase / to climb;steigen
to run / to go (here: The business is going well);laufen (hier: Die Firma läuft gut.)
to run / to race;rennen
to run / to walk / to operate;laufen
to run for office / to be a candidate;kandidieren
to save / to rescue;retten
to save costs;Kosten sparen
to scan;scannen
to secure / to ensure / to guarantee;sichern
to see / to look / to watch;sehen
to see again / to meet again;wiedersehen
to seem / to appear;scheinen (hier: Mir scheint,)
to seem / to appear (here: It seems to me ...);scheinen (hier: Mir scheint, ...)
to seem / to appear / to have an effect;wirken
to seem / to appear / to shine;scheinen
to send / to dispatch;versenden
to send / to dispatch / to mail;verschicken
to send / to submit / to dispatch;abschicken
to send back / to return;zurückschicken
to set up / to furnish / to establish;einrichten
to set up / to place / to establish;aufstellen
to sign;unterschreiben
to sink / to be submerged / to be absorbed;versinken
to sit / to be seated;sitzen
to Skype / to video call;skypen
to sleep;schlafen
to smell;riechen
to smoke;rauchen
to sort;sortieren
to speak / to talk;sprechen
to spend (time) / to stay;verbringen
to spend / to give out / to issue;ausgeben
to stand / to be / to be located;stehen
to start / to drive up / to hit (with vehicle);anfahren
to stay / to remain;bleiben
to stick together / to hold together;zusammenhalten
to stop / to hold on / to last;anhalten
to strengthen;stärken
to strike / to go on strike;streiken
to suffer / to endure;leiden
to suffice / to be enough;ausreichen
to suffice / to reach / to pass;reichen
to suggest / to propose / to recommend;vorschlagen
to supplement / to complement / to add;ergänzen
to supply / to provide / to care for;versorgen
to surprise;überraschen
to swim;schwimmen
to take;nehmen
to take (a test) / to put down / to deposit;ablegen
to take (medicine) / to occupy / to earn;einnehmen
to take a test;einen Test ablegen
to take along;mitnehmen
to take away / to bring away;wegbringen
to take back / to return;zurücknehmen
to take down (laundry) / to remove;abnehmen (hier: die Wäsche)
to take down / to remove / to decrease;abnehmen (hier: die Wäsche)
to take off / to fly away;abfliegen
to take out (a loan);aufnehmen (hier: einen Kredit aufnehmen)
to take out a loan;einen Kredit aufnehmen
to take over / to assume / to accept;übernehmen
to take place / to occur;stattfinden
to talk / to converse / to entertain (oneself);unterhalten (sich)
to terminate / to quit / to cancel (contract);kündigen
to think / to reflect / to intend;denken
to think / to reflect / to ponder;nachdenken
to threaten / to menace;drohen
to throw;werfen
to touch / to handle;anfassen
to tow (away);abschleppen
to train / to educate / to apprentice;ausbilden
to transfer (money) / to refer;überweisen
to translate / to interpret;übersetzen
to treat;behandeln
to try / to attempt;versuchen
to turn / to branch off;abbiegen
to turn off / to switch off;ausschalten
to understand / to comprehend;verstehen
to understand / to get along (with each other);verstehen (sich)
to undertake / to do together / to venture;unternehmen
to use / to utilize;nutzen
to vacuum;staubsaugen
to want / to intend / to wish;wollen
to wash;waschen
to waste / to squander;verschwenden
to watch / to look at;anschauen
to watch out (for) / to look after;aufpassen (auf)
to watch TV;fernsehen
to win / to gain;gewinnen
to wish (for) / to desire;wünschen (sich)
to work out / to develop / to elaborate;erarbeiten
to write;schreiben
tour operator;Reiseveranstalter, der, -
toys / playthings;Spielwaren, Pl.
traffic accident;Verkehrsunfall, der, “-e
traffic chaos / gridlock;Verkehrschaos, das, Sg.
traffic control / police check;Verkehrskontrolle, die, -n
traffic expert;Verkehrsexperte/-expertin, der/die, -n/-nen
trainee / apprentice;Auszubildende, der/die -n
training position / apprenticeship place;Ausbildungsplatz, der “-e
transport company / transit authority;Verkehrsbetrieb, der, -e
transport policy / traffic policy;Verkehrspolitik, die, Sg.
treasure / darling (here: my darling);Schatz, der, (hier: Mein Schatz)
treatment;Behandlung, die, -en
trunk / boot (of a car);Kofferraum, der, “-e
turn signal / indicator;Blinker, der, -
TV appearance;Fernsehauftritt, der, -e
TV package;TV-Paket, das, -e
TV series;Fernsehserie, die, -n
two-year-old (person);Zweijährige, der/die, -n
typing office / writing service;Schreibbüro, das, -s
