English;German
the chicken, chickens;das Hähnchen, -
the child benefit (singular);das Kindergeld, Sg
the child benefit application;der Kindergeldantrag -e
the chocolate;die Schokolade, Sg
the cinema/movie theater, cinemas;das Kino, -s
the citizens' office;das Bürgeramt, -er
the city center (singular);die Stadtmitte, Sg
the city tour;die Stadtrundfahrt, -en
the city/town;die Stadt, -e
the cleaner, cleaning staff;die Reinigungskraft
the cleaning staff member;die Reinigungskraft, -e
the clock, watch;die Uhr
the clock/watch/o'clock, clocks;die Uhr, -en
the clocks, watches;die Uhren
the clothing (singular);die Kleidung, Sg
the cloud;die Wolke, -n
the club/association, clubs;der Verein, -e
the coat;der Mantel,-
the coffee;der Kaffee, Sg
the cold (illness);die Erkältung, -en
the cold/runny nose (singular);der Schnupfen, Sg
the colleague (female);die Kollegin,-nen
the colleague (male);der Kollege, -n
the color, colors;die Farbe, -n
the computer game;das Computerspiel. -e
the condominium/owned apartment;die Eigentumswohnung -en
the construction site;die Baustelle, -n
the cook (female);die Köchin, -nen
the cook (male);der Koch, -e
the corner;die Ecke, -n
the cough (singular);der Husten, Sg
the country;das Land
the course fee;die Kursgebühr, -en
The course goes from;Der Kurs geht von
the crime novel/detective story, detective stories;der Krimi, -s
the cup;die Tasse, -n
the cup/beaker, cups;der Becher, -
the cupboard/wardrobe, cupboards;der Schrank, -e
the curtain, curtains;der Vorhang, -e
the customer (female), customers;die Kundin, -nen
the customer (male), customers;der Kunde, -n
the date of birth;das Geburtsdatum, -daten
the date, dates;das Datum, Daten
the day;derTag
the day before yesterday;vorgestern
the day, days;der Tag, -e
the daycare center, daycare centers;die Kita, -s
the debit card;die EC-Karte, -n
the delay;die Verspätung -en
the dental check-up;die Zahnkontrolle -n
the dentist;der Zahnarzt, -e
the dentist (female);die Zahnärztin, -nen
the department;die Abteilung -en
the department head/manager (male/female);der/die Abteilungsleiter/in,-/-nen
the department store;das Kaufhaus, -er
the departure;die Abfahrt
the dictionaries;die Wörterbücher
the dictionary;das Wörterbuch
the dinner;das Abendessen
the direction;die Richtung, -en
the disadvantage;der Nachteil, -e
the dishwasher, dishwashers;die Spülmaschine, -n
the doctor's visit;der Arztbesuch, -e
the documentary, documentaries;der Dokumentarfilm, -e
the dog;der Hund, -e
the door;die Tür
the door, doors;die Tür, -en
the doorbell;die Klingel -n
the dress;das Kleid, -er
the drink, drinks;das Getränk, -e
The driver's license;Der Führerschein
the driving test;die Führerscheinprüfung, -n
the e-book, e-books;das E-Book, -s
the ear;das Ohr, -en
the east (singular);der Osten, Sg
the egg, eggs;das Ei, -er
the elderly care nurse;die Altenpflegerin
the elevator;der Aufzug, -e
the email address;die E-Mail-Adresse
the email address, email addresses;die E-Mail-Adresse, -n
the email program, email programs;das E-Mail-Programm, -e
the email, emails;die E-Mail, -s
the emergency;der Notfall, -e
the emergency call;der Notruf, -e
the emergency doctor;der Notarzt, -e
the employee (male/female);der/die Angestellte, -n/-n
the employer (male/female);der/die Arbeitgeber/in, -/-nen
the engineer;der Ingenieur
the engineer (male/female);der/die Ingenieur/in
the entrance;der Eingang -e
the eraser;der Radiergummi
the escalator;die Rolltreppe, -n
the euro, euros;der Euro, -s
the excursion, excursions;der Ausflug, -e
the exercise/practice, exercises;die Übung, -en
the exit;der Ausgang -e
the expert/connoisseur (male/female);der/die Kenner/in, -/-nen
the eye;das Auge, -n
the eyelashes and the eye;die Wimpern und das Auge
the family benefits office;die Familienkasse
the family doctor (female);die Hausärztin, -nen
the family doctor/general practitioner;der Hausarzt -e
the farm;der Bauernhof, -e
the father, fathers;der Vater, -
the feature film, feature films;der Spielfilm, -e
the Federal Employment Agency;die Bundesagentur für Arbeit
the fee;die Gebühr. -en
the festival/party;das Fest, -e
the fever (singular);das Fieber, Sg
the file, files;die Datei, -en
the film/movie, movies;der Film, -e
the finger;-e der Finger, -
the finger and the toe;der Finger und der Zeh
the fire (singular);das Feuer, Sg
the fire department;die Feuerwehr, -en
the first name;der Vorname
the fish, fish;der Fisch, -e
the flea market;der Flohmarkt, -e
the floor/story, floors;der Stock, Pl.: Stockwerke
the flower, flowers;die Blume, -n
the flu;die Grippe, -n
the food/meal (singular);das Essen, Sg
the foot and the hand;der Fuß und die Hand
the foot, the;der Fuß, -e der
the foreigners' office;das Ausländeramt, -er
the foreigners' registration office;das Ausländeramt
the forest;der Wald, -er
the forests;die Wälder
the form;das Formular, -e
the Friday, Fridays;der Freitag, -e
the fruit;das Obst, Sg
the furniture (plural);die Möbel, Pl
the garbage bin;die Mülltonne, -n
the garbage collection (singular);die Müllabfuhr, Sg
the garbage/trash (singular);der Müll, Sg
the girl;das Mädchen, -
the glass, glasses;das Glas, -er
the glasses (eyewear);die Brille
the glasses, pairs of glasses;die Brille, -n
the gram;das Gramm, Sg
the greeting;der Gruß, -e
the grill;der Grill, -s
the groceries/food;die Lebensmittel, Pl
the head;der Kopf, -e
the headphone(s), headphones;der Kopfhörer, -
the health (singular);die Gesundheit, Sg
the health insurance card;die Gesundheitskarte, -n
the health insurance fund;die Krankenkasse, -n
the heating;die Heizung -en
the help/assistance, helps;die Hilfe, -n
the high mountain;der hohe Berg
the high school diploma/A-levels (singular);das Abitur, Sg.
the highlighters, markers;die Markierstifte
the hobby;das Hobby
the homeland/home country;die Heimat
the hospital;die Krankenhaus, -er
the hotel;das Hotel, -s
the house;das Haus
the hunger;der Hunger, Sg
the immigrant (male/female);der/die Zuwanderer/in,-/-nen
the inbox, inboxes;der Posteingang, -e
the inexpensive overnight stay;die preiswerte Übernachtung
the information brochure;die Informationsbroschüre, -n
the information, pieces of information;die Information, -en
the interesting big city;die interessante Großstadt
the internet access, internet accesses;der Internetzugang, -e
the intersection;die Kreuzung, -en
the jacket;die Jacke
the jeans;die Jeans, -
the jewelry (singular);der Schmuck, Sg
the key;der Schlüssel
the key, keys;der Schlüssel, -
the kilo/kilogram;das Kilo/Kilogramm, Sg
the kilometer;der Kilometer, -
the kindergarten;der Kindergarten, -
the kindergarten spot;der Kindergartenplatz, -e
the kitchen, kitchens;die Küche,-n
the lake;der See -n
the lamp;die Lampe
the lamp, lamps;die Lampe, -n
the landlord/landlady;der/die Vermieter/in, -/-nen
the landscape/scenery;die Landschaft, -en
the language, languages;die Sprache, -n
the laptop;der Laptop
the laptop, laptops;der Laptop, -s
the large city/metropolis;die Großstadt, -e
the leg;das Bein, -e
the lesson/class (singular);der Unterricht Sg
the library;die Bibliothek, -en
the light (singular);das Licht, Sg
The light doesn't work;Das Licht geht nicht
the line;die Linie, -n
the lips and the mouth;die Lippen und der Mund
the liter;der Liter, Sg
the living room, living rooms;das Wohnzimmer, -
the lunch;das Mittagessen
the lunch break;die Mittagspause. -n
the mail carrier (male/female);der/die Briefträger/in, -/-nen
the mail carrier, postwoman;die Briefträgerin
the main residence (singular);die Hauptwohnung, Sg
the main station;der Hauptbahnhof, -e
the main train station;der Hauptbahnhof
the marital status;der Familienstand
the marital status (singular);der Familienstand, Sg
the marker, highlighter;der Markierstift
the market, markets;der Markt, -e
the married couple;das Ehepaar
the meadow;die Wiese, -n
the meadows;die Wiesen
the medical practice, practices;die Praxis, Praxen
the medication;das Medikament, -e
the medium/media, media;das Medium, Medien
the microwave, microwaves;die Mikrowelle, -n
the milk;die Milch, Sg
the minced meat as well;das Hackfleisch auch
the minute;die Minute, -n
the mistake/error, errors;der Fehler, -
the mobile phone;das Handy
the mobile phone, cell phone;das Handy
the money (singular);das Geld, Sg
the month;der Monat, -e
the mother tongue/native language, native languages;die Muttersprache, -n
the motorcycle;das Motorrad, -er
the mountain;der Berg, -e
the mountains;die Berge
the mouth;der Mund, -er
the move-in (singular);der Einzug, Sg
the movie is also playing on Saturday;der Film läuft auch am Samstag
the municipality/community;die Gemeinde, -n
the music is great;Musik ist toll
the name;der Name
the nationality;die Nationalität
the nationality, nationalities;die Nationalität,-en
the nationality/citizenship;die Staatsangehörigkeit, -en
the native language, mother tongue;die Muttersprache
the neck/throat;der Hals, -e
the neighbor (female);die Nachbarin, -nen
the neighbor (male);der Nachbar, -n
The neighbors;Die Nachbarn
the news (plural);die Nachrichten, Pl
the newspaper, newspapers;die Zeitung, -en
the next day;Am nächsten Tag
the noodles/pasta;die Nudeln, Pl
the north (singular);der Norden, Sg
the nose;die Nase, -n
the note, slip of paper;der Zettel
the notebook;das Notizbuch
the notebook, exercise book;das Heft
the notebook, notebooks;das Heft, -e
the notes, slips of paper;die Zettel
the number;die Zahl
the number (phone/ID number);die Nummer
the nurse;die Krankenschwester
the nurse (female);die Krankenschwester, -n
the nurse (male/female);der/die Krankenpfleger/in, -/-nen
the office;das Büro -s
the office hours, consultation hours;die Sprechzeiten
the office hours/consultation hours;die Sprechzeiten, Pl
the office/authority;das Amt, -er
the online game, online games;das Online-Spiel, -e
the option, options;die Option, -en
the orange, oranges;die Orange, -n
the package/pack, packages;die Packung, -en
the pants/trousers;die Hose, -n
the paper;das Papier
the parcel;das Paket, -e
the parents;die Eltern, Pl
the park;der Park -s
the parking lot;der Parkplatz
the parking space;der Parkplatz, -e
the part-time work (singular);die Teilzeitarbeit, Sg.
the passport;der Pass, -e
the pay slip;die Gehaltsabrechnung. -en
the pedestrian (male/female);der/die Füßgänger/in, -/-nen
the pen (short for Kugelschreiber);der Kuli
the pen (short for Kugelschreiber), pens;der Kuli, -s
the pen, pens;der Stift, -e
the pencils;die Bleistifte
the pharmacy;die Apotheke, -n
the photo, photos;das Foto, -s
the picture/image, pictures;das Bild, -er
the piece;das Stück, Sg
the pill/tablet;die Tablette, -n
the pizza, pizzas;die Pizza, -s/Pizzen
the place of birth;der Geburtsort -e
the place/square;der Platz, -e
the place/square/seat, places;der Platz, -e
the playground;der Spielplatz, -e
the postal code, zip code;die Postleitzahl
the postal code/zip code, postal codes;die Postleitzahl, -en
the postcard;die Postkarte, -n
the poster;das Plakat
the posters;die Plakate
the potato, potatoes;die Kartoffel, -n
the pound;das Pfund, Sg
the prescription;das Rezept
the price, prices;der Preis, -e
the profession/occupation;der Beruf
the program/broadcast, programs;die Sendung, -en
the programmer (female);die Programmiererin
the pronunciation (singular);die Aussprache, Sg
the quiz (singular);das Quiz, Sg,
the radio;das Radio, -s
the rain (singular);der Regen, Sg
the reason/ground, reasons;der Grund, -e
the recipe/prescription;das Rezept -e
the recipient (male/female);der/die Empfänger/in, -/-nen
the refrigerator, refrigerators;der Kühlschrank, -e
the refugee shelter/home, shelters;das Flüchtlingsheim, -e
the registration form, registration forms;das Anmeldeformular, -e
the registration office;die Meldestelle, -n
the registry office;das Standesamt ,-er
the rent, rents;die Miete, -n
the rental contract;der Mietvertrag, -e
the request;die Bitte, -n
the reservation;die Reservierung, -en
the restaurant;das Restaurant, -s
the rice;der Reis, Sg
the ring;der Ring, -e
the river;der Fluss, -e
the rivers;die Flüsse
the ruler;das Lineal
the salad, salads;der Salat, -e
the salesperson/seller (male/female);der/die Verkäufer/in
the salt (singular);das Salz, Sg
the salutation;die Anrede, -n
the same price;der gleiche Preis
the sandbox;der Sandkasten -
the Saturday, Saturdays;der Samstag, -e
the sausage, sausages;die Wurst, -e
the Schnoor district (historic quarter in Bremen);das Schnoorviertel
the scissors;die Schere
the sea/ocean;das Meer, -e
the seas, the oceans;die Meere
the season;die Jahreszeit, -en
The seasons;Die Jahreszeiten
the second-hand shop, thrift store;der Secondhandladen
the second-hand store;der Secondhandladen, -
the secretary (male);der Sekretär
the secretary (male/female);der/die Sekretär/in -e/-nen
the sender;der Absender, -
the sentence, sentences;der Satz, -e
the series, series;die Serie, -n
the shelf, shelves;das Regal, -e
the shelves are nice;die Regale sind schön
the ship;das Schiff -e
the shirt;das Hemd, -en
the shoe;der Schuh, -e
The shoes don't fit;Die Schuhe passen nicht
the shop/business, shops;das Geschäft, -e
The shopping list;Der Einkaufszettel
the siblings;die Geschwister, Pl
the sick note;die Krankschreibung -en
the sidewalk/pavement;der Bürgersteig, -e
the sight/attraction, sights;die Sehenswürdigkeit, -en
the sign;das Schild, -er
the signature;die Unterschrift, -en
the sink, sinks;die Spüle, -n
the sister, sisters;die Schwester, -n
the size;die Größe, -n
the skirt;der Rock -e
the slice, slices;die Scheibe, -n
the small parcel;das Päckchen, -
the small town;die Kleinstadt,-e
the snow (singular);der Schnee Sg
the sock;die Socke, -n
the sofa/couch, sofas;das Sofa, -s
the software (singular);die Software, Sg
the son, sons;der Sohn, -e
the south (singular);der Süden, Sg
the spaghetti;die Spaghetti, Pl
the spine and the back;die Wirbelsäule und der Rücken
the spring;der Frühling
the square meter, square meters;der Quadratmeter, (qm), -
the stairs;die Treppe, -n
the stairwell;das Treppenhaus, -er
the station;die Station -en
the station (often for underground/train);die Station
the stomach/belly;der Bauch. -e
the stop (bus/tram);die Haltestelle, -n
the story/history (singular);die Geschichte, Sg.
the stove/cooker, stoves;der Herd, -e
the street festival, street festivals;das Straßenfest, -e
the street, streets;die Straße, -n
the stroller;der Kinderwagen, -
the studies/study program (singular);das Studium, Sg.
the suburban train/commuter rail;die S-Bahn, -en
the subway station;die U Bahn Station, -en
the subway/underground;die U-Bahn, -en
the suit;der Anzug -e
the summer;der Sommer
the sun (singular);die Sonne, Sg
The sun is shining;Die Sonne scheint
the Sunday, Sundays;der Sonntag, -e
the supermarket, supermarkets;der Supermarkt, -n
the surname/last name;der Familienname
the sweater;der Pullover, -
the sweatshirt;das Sweatshirt, -s
the swimming pool;das Schwimmbad, -er
the T-shirt;das T-Shirt, -s
the table;der Tisch
the table is;Tisch ist
the table, tables;der Tisch, -e
the tablet;das Tablet
the tablets, pills;die Tabletten
the talk show, talk shows;die Talkshow, -s
the taxi company;das Taxiunternehmen, -
the taxi driver (female);die Taxifahrerin
the taxi driver (male/female);der/die Taxifahrer/in, -/-nen
the tea;der Tee, Sg
the team;das Team, -s
the telephone number, telephone numbers;die Telefonnummer, -n
the television (singular);das Fernsehen, Sg.
the television, televisions;der Fernseher, -
the tenancy agreement, rental contract;der Mietvertrag
the thirst;der Durst, Sg
the ticket, tickets;die Fahrkarte, -n
the tip/hint;der Tipp, -s
the toilet/bathroom;die Toilette, -n
the tomato, tomatoes;die Tomate, -n
the town hall;das Rathaus, -er
the town hall, city hall;das Rathaus
the track/platform;das Gleis. -e
the traffic light;die Ampel, -n
the traffic report, traffic reports;die Verkehrsmeldung, -en
the train;der Zug, -e
the tram/streetcar;die Straßenbahn, -en
the transfer;die Überweisung, -en
the tree;der Baum, -e
the trees;die Bäume
the trip/journey;die Reise, -n
the truck;der Lkw, -s
the Tuesday evening, Tuesday evenings;der Dienstagabend, -e
the Tuesday, Tuesdays;der Dienstag, -e
the uncle, uncles;der Onkel, -
the underwear (singular);die Unterwäsche, Sg
the university, universities;die Universität, -en
the upper leg (thigh) and the lower leg (shin);der Oberschenkel und der Unterschenkel
the USB stick;der USB-Stick
the utilities, additional costs;die Nebenkosten
the vegetables;das Gemüse, Sg
the vehicle registration office;die Kfz-Zulassungsstelle,-n
the vicinity (in der Nähe = nearby);der Nähe
the villages;die Dörfer
the visa, visas;das Visum, Visa
the waiter;der Kellner
the waiting number/ticket;die Wartenummer, -n
the waiting room;der Warteraum, -e
the wallet, purse;das Portemonnaie
the wardrobe/cabinet is not bad;der Schrank ist nicht schlecht
the warm sun;die warme Sonne
the washing machine, washing machines;die Waschmaschine, -n
the water;das Wasser, Sg
The way to work;Der Weg zur Arbeit
the way/path;der Weg -e
the weather (singular);das Wetter, Sg
the weather report, weather reports;der Wetterbericht, -e
the website, websites;die Internetseite, -n
the wedding;die Hochzeit, -en
the week;die Woche
the week, weeks;die Woche, -n
the weekend;das Wochenende
the weekend, weekends;das Wochenende, -n
the west (singular);der Westen, Sg
the wet-cold weather;das nasskalte Wetter
the whole week;ganze Woche
the wind;der Wind, -e
the window;das Fenster
the window, windows;das Fenster -
the wine, wines;der Wein, -e
the winter;der Winter
the wonderful vacation;der wunderschöne Urlaub
the word, words;das Wort, -er
the work/job;die Arbeit
the working hours;die Arbeitszeit, -en
the workshop/garage;die Werkstatt, -en
the world (singular);die Welt, Sg.
the yard festival;das Hoffest, -e
the yard/court;der Hof, -e
the yield/right-of-way sign;das Vorfahrtsschild, -er
the zoo;der Zoo, -s
theater group;die Theatergruppe, -n
then;dann
then I am also healthy;dann bin ich auch gesund
then right again;dann wieder rechts
Then you see;Dann siehst
theoretical;theoretisch
there;dort
there I sell;Da verkaufe
There is / There are;Es gibt
There is also the harbor / port;Es gibt auch noch den Hafen
there is no train station where we are;bei uns gibt es keinen Bahnhof
There is running / playing;Da läuft
there is, there are;da ist, da sind
there is/are;es gibt
there/since;da
therefore, that's why;deshalb
therefore/that's why;deshalb
they get old and still stay healthy;sie werden alt und bleiben doch gesund
they probably want / definitely want;wollen bestimmt
they say;sagt man
they take a boat trip first;sie machen zuerst eine Schifffahrt
They visit (sights) / they tour;Sie besichtigen
thing (above all/especially);Ding (vor allen Dingen)
thing/matter;Sache
things, stuff;Sachen
think (ich denke = I think);denke
thirst;Durst
this (masculine/neuter);dieser, -e, -es
this is (speaking) / here speaks;hier spricht
Those please me / I like those;Die gefallen mir
thought;der Gedanke, -n
three times per week;dreimal pro Woche
throat lozenge;Halstablette
through;durch
through/by;durch
thunderstorm;das Gewitter, -
Thursday;Donnerstag
ticket;Fahrkarte
tidied up (past participle of aufräumen);aufgeräumt
tidy, neat;ordentlich
tie;Krawatte
tight, narrow;eng
time;Zeit
time/occasion;Mal
times/once;mal
timetable, schedule;der Stundenplan, -e
tip;das Trinkgeld, -er
tip/hint;Tipp
tired;müde
to - She drives to the supermarket;zu - Sie fährt zum Supermarkt
to - to Potsdam;nach - nach Potsdam
to accept;annehmen
to accept, accepts, has accepted;annehmen, nimmt an, hat angenommen
to acknowledge, acknowledges, has acknowledged;anerkennen, erkennt an, hat anerkannt
to acknowledge/recognize;anerkennen
to address formally (use "Sie");siezen
to address informally (use "du");duzen
to admit, to concede;einräumen
to advise/consult;beraten
to advise/consult, advises, has advised;beraten, berät, hat beraten
to advocate for, to campaign for;sich einsetzen für
to also sign at the bottom;unten noch unterschreiben
to answer;antworten
to apologize;sich entschuldigen
to appear/look;aussehen
to apply (for);sich bewerben (um)
to apply for;beantragen
to apply for housing benefit;auf Wohngeld stellen
to apply for, to request;beantragen
to argue;sich streiten
to argue/fight;streiten
to argue/fight, argues, has argued;streiten, streitet, hat gestritten
to arrange to meet, to make a date;sich verabreden
to arrange, to schedule (an appointment);vereinbaren
to arrive;ankommen
to arrive, arrives, has arrived;ankommen, kommt an, ist angekommen
to arrive, have arrived;ankommen, sind angekommen
to ask;fragen
to ask a question;eine Frage stellen
to attach;anhängen
to audition/speak beforehand;vorsprechen
to avoid;vermeiden
to bake;backen
to barbecue/grill;grillen
to bare the upper body;den Oberkörper frei machen
to bathe, to swim;baden
to be;sein
to be able to/can;können
to be afraid/have fear;Angst haben
to be allowed/may;dürfen
to be annoyed (about), to get angry (about);sich ärgern (über)
to be available/on display;aufliegen
to be born;geboren sein
to be called;heißen
to be called, is called, has been called;heißen, heißt, hat geheißen
to be called/named;heißen
to be correct;stimmen
to be fat, overweight;dick sein
to be friends;befreundet sein
to be injured;verletzt sein
to be interested (in);sich interessieren (für)
to be lucky;Glück haben
to be missing - What's wrong with you?;fehlen - Was fehlt Ihnen?
to be on, to be going on;los sein
to be over, to end;zu Ende sein
to be pleased, to look forward to;sich freuen
to be present, to participate;dabei sein
to be reachable/available;erreichbar sein
to be responsible for;zuständig sein
to be slim;schlank sein
to be sorry, is sorry, has been sorry;leidtun, tut leid, hat leidgetan
to be sorry/feel sorry for;leidtun
to be, is, has been;sein, ist, ist gewesen
to begin;beginnen
to begin, begins, has begun;anfangen, fängt an, hat angefangen
to begin/start;anfangen
to believe;glauben
to belong;gehören
to blink/flash;blinken
to blink/use turn signal;blinken
to bloom, to blossom;blühen
to book;buchen
to bowl (nine-pin bowling);kegeln
to break down, to break;kaputt gehen
to bring;bringen
to bring a little time (colloquial: to have a bit of time to spare);bisschen Zeit mitbringen
to bring along, brings along, has brought along;mitbringen, bringt mit, hat mitgebracht
to bring, brings, has brought;bringen, bringt, hat gebracht
to buy;kaufen
to call;anrufen
to call back;zurückrufen
to call, calls, has called;anrufen, ruft an, hat angerufen
to celebrate;feiern
to change (trains, etc.), to transfer;umsteigen
to change (trains/buses), to transfer;umsteigen
to change (transport);umsteigen
to change (transport), changes, has changed;umsteigen, steigt um, ist umgestiegen
to change something;etwas ändern
to change, exchange (money);wechseln
to change/exchange;wechseln
to chat;chatten
to check emails;E-Mails checken
to check in;einchecken
to check, to examine;prüfen
to check, to look (for something);nachsehen
to check/control;kontrollieren
to check/look up;nachsehen
to check/look up, checks, has checked;nachsehen, sieht nach, hat nachgesehen
to chill, relax;chillen
to chill/hang out;chillen
to clean;putzen
to climb stairs;Treppen steigen
to climb, to rise, to get on/in (a vehicle);steigen
to close;schließen
to come;kommen
to come along;mitkommen
to come along, comes along, has come along;mitkommen, kommt mit, ist mitgekommen
to come back;zurückkommen
to come back, comes back, has come back;zurückkommen, kommt zurück, ist zurückgekommen
to come back/return;zurückkommen
to come by, to stop by;vorbeikommen
to come in;reinkommen
to come in, comes in, has come in;reinkommen, kommt rein, ist reingekommen
to come with me (infinitive/ dependent clause form);mit mir kommen
to come, comes, has come;kommen, kommt, ist gekommen
to come, I have come;kommen, ich bin gekommen
to comfort, to console;trösten
to complain, to make a claim;reklamieren
to conclude, to take out (e.g., insurance);abschließen
to connect;verbinden
to consider, to think over;überlegen (sich)
to continue driving;weiterfahren
to converse, to talk, to entertain oneself;sich unterhalten
to cook;kochen
to cost;kosten
to count;zählen
to cry;weinen
to dance;tanzen
to darken the room;Zimmer dunkel machen
to delete/erase;löschen
to depart;abfahren
to depart, departs, has departed;abfahren, fährt ab, ist abgefahren
to depart, to take off (flight);abfliegen
to depart/set off;losfahren
to depart/set off, departs, has departed;losfahren, fährt los, ist losgefahren
to deposit, pay in;einzahlen
to deregister;abmelden
to deregister/log off;abmelden
to dial a wrong number;sich verwählen
to discuss;besprechen
to disturb/bother;stören
to do crafts/make things;basteln
to do detention;nachsitzen
to do sports;Sport machen
to do sports, to exercise;Sport treiben
to do the housework;den Haushalt machen
to do things;Dinge tun
to do without, to go without;verzichten (auf)
to do/make;machen
to do/what to do;was machen
to download;herunterladen
to download and fill out;herunterladen und ausfüllen
to download, downloads, has downloaded;herunterladen, lädt herunter, hat heruntergeladen
to dream;träumen
to dream (of);träumen (von)
to dress up, to wear a costume;sich verkleiden
to drill;bohren
to drink;trinken
