English;German
somewhat strenuous;etwas anstrengend
son;Sohn
song;das Lied, -er
soon;bald
sore throat;die Halsschmerzen Pl
soup;Suppe
south;Süden
space - The children need space.;Platz - Die Kinder brauchen Platz.
space/seat - Do you still have free seats?;Platz - Haben Sie noch Plätze frei?
spaghetti;Spaghetti
Spanish;Spanisch
special needs school;die Förderschule, -n
special offer;Sonderangebot
special offers, sales;Sonderangebote
specialist doctor;Facharzt/Fachärztin
specialty;Spezialität
spoon;der Löffel, -
sport;Sport
sports club;der Sportverein, -e
sports goods;Sportwaren
sports shoe;Sportschuh
spring;Frühling
square - There's a fountain in the square.;Platz - Auf dem Platz ist ein Brunnen.
stairs, staircase;Treppe
stairs/staircase;Treppe
stairwell;Treppenhaus
stand, stall;der Stand, -¨e
standing order, automatic payment;der Dauerauftrag, -e
Started / began;Angefangen
starts, begins;fängt
station;Station
stay, sojourn;der Aufenthalt, -e
stays, remains;bleibt
still many free places / vacancies;noch viele freie Plätze
still places available;noch Plätze frei
still the weather / also the weather;noch das Wetter
still/yet/another;noch
stomach ache;die Magenschmerzen, Pl.
stop (bus/tram);Haltestelle
stopped / quit;habe aufgehört
storm;der Sturm, -e
stove, cooker;Herd
stove/cooker;Herd
straight ahead;geradeaus
straight ahead all the way;immer geradeaus
strange, foreign;fremd
street;Straße
street festival;Straßenfest
stressful;stressig
strict;streng
stroller;Kinderwagen
strong;stark
student/pupil;Schüler
subject, field;das Fach, -er
subject/reference;Betreff
suburb;der Vorort, -e
suburban train/commuter rail;S-Bahn
subway station;U-Bahn-Station
subway/underground;U-Bahn
success;der Erfolg, -e
successor tenant, replacement tenant;der/die Nachmieter/in,-/-nen
suddenly;plötzlich
sugar;Zucker
suit;Anzug
suitable for children;für Kinder geeignet
suitable, fitting;passend
suitable/fitting;passend
suitcase;der Koffer, -
summer;Sommer
summer sale;Sommerschlussverkauf
sun;Sonne
sun hour;Sonnenstunde
sun umbrella, parasol;der Sonnenschirm, -e
Sunday;Sonntag
Sunday afternoon;Sonntagnachmittag
sunglasses;die Sonnenbrille, -n
sunny;sonnig
sunscreen;die Sonnencreme, -s
sunshine;Sonnenschein
super/great;super
supermarket;der Supermarkt
support, promotion, funding;die Förderung, -en
sure, certain;sicher
sure, certainly;sicher
surely, certainly;bestimmt
surely, certainly, definitely;bestimmt
surname/last name;Nachname
surprise;die Überraschung, -en
sweater;Pullover
sweatshirt;Sweatshirt
sweet/cute;süß
sweets, candy;die Süßigkeiten, Pl.
swimming lessons;der Schwimmunterricht, Sg.
swimming pool;Schwimmbad
swimwear, bathing things;die Badesachen, Pl.
swing;Schaukel
switchboard, telephone exchange;die Telefonzentrale, -n
