English;German
work;Arbeit
to work;arbeiten
work break;die Arbeitspause, -n
work experience, professional experience;die Berufserfahrung, -en
to work full-time;in Vollzeit arbeiten
to work out, to succeed;klappen
to work part-time;in Teilzeit arbeiten
to work together, to collaborate;zusammenarbeiten
to work/function;funktionieren
the work/job;die Arbeit
working hours;Arbeitszeit
the working hours;die Arbeitszeit, -en
Working with the computer;Mit dem Computer arbeiten
workplace;Arbeitsplatz
workplace location;Arbeitsort
workplace, job;der Arbeitsplatz, -e
works council;der Betriebsrat, -e
workshop/garage;Werkstatt
the workshop/garage;die Werkstatt, -en
the world (singular);die Welt, Sg.
would like to;möchten
would like to submit;möchte abgeben
Would you like anything else?;Möchtest du noch etwas
to write;schreiben
write the excuse note;schreibe die Entschuldigung
to write, read and do arithmetic;schreiben, lesen und rechnen
to write, writes, has written;schreiben, schreibt, hat geschrieben
written/in writing;schriftlich
wrong number (connected incorrectly);falsch verbunden
