English;German
so inexpensive;so preiswert
so long;so lang
so much fun;so viel Spaß
so, well, therefore;Also
so/thus;so
so/well;also
soccer;Fußball
soccer club;Fußballverein
soccer game;Fußballspiel
social;sozial
social networks;soziale Netzwerke
sock;Socke
the sock;die Socke, -n
socks;Socken
sofa/couch;Sofa
the sofa/couch, sofas;das Sofa, -s
the software (singular);die Software, Sg
solidarity;die Solidarität, Sg.
some/several;einige
something;etwas
something else;etwas anderes
something stupid happened;etwas Dummes passiert
something/somewhat;etwas
sometimes;manchmal
sometimes also at noon;manchmal auch am Mittag
sometimes expensive;manchmal teuer
somewhat strenuous;etwas anstrengend
son;Sohn
the son, sons;der Sohn, -e
song;das Lied, -er
soon;bald
sore throat;die Halsschmerzen Pl
soup;Suppe
south;Süden
the south (singular);der Süden, Sg
space - The children need space.;Platz - Die Kinder brauchen Platz.
space/seat - Do you still have free seats?;Platz - Haben Sie noch Plätze frei?
spaghetti;Spaghetti
the spaghetti;die Spaghetti, Pl
Spanish;Spanisch
to speak;sprechen
to speak (about);sprechen (über)
to speak, he speaks;sprechen, er spricht
to speak, speaks, has spoken;sprechen, spricht, hat gesprochen
special needs school;die Förderschule, -n
special offer;Sonderangebot
special offers, sales;Sonderangebote
specialist doctor;Facharzt/Fachärztin
specialty;Spezialität
to spell;buchstabieren
to spend (time);verbringen
to spend so much money;so viel Geld ausgeben
to spend together;gemeinsam verbringen
the spine and the back;die Wirbelsäule und der Rücken
spoon;der Löffel, -
sport;Sport
sports club;der Sportverein, -e
sports goods;Sportwaren
sports shoe;Sportschuh
spring;Frühling
the spring;der Frühling
square - There's a fountain in the square.;Platz - Auf dem Platz ist ein Brunnen.
the square meter, square meters;der Quadratmeter, (qm), -
the stairs;die Treppe, -n
stairs, staircase;Treppe
stairs/staircase;Treppe
stairwell;Treppenhaus
the stairwell;das Treppenhaus, -er
to stand;stehen
to stand out, to be noticeable;auffallen
stand, stall;der Stand, -¨e
to stand, stands, has stood;stehen, steht, hat gestanden
to stand, to be standing;stehen
standing order, automatic payment;der Dauerauftrag, -e
to start;starten
to start, to begin;anfangen
Started / began;Angefangen
starts, begins;fängt
station;Station
the station;die Station -en
the station (often for underground/train);die Station
to stay;bleiben
to stay a little while;bisschen bleiben
to stay at home;zu Hause bleiben
to stay in bed;im Bett bleiben
to stay overnight;übernachten
to stay, I have stayed;bleiben, ich bin geblieben
stay, sojourn;der Aufenthalt, -e
to stay/remain;bleiben
to stay/remain, stays, has stayed;bleiben, bleibt, ist geblieben
stays, remains;bleibt
to stick together through thick and thin;durch dick und dünn gehen
to stick together, to hold together;zusammenhalten
still many free places / vacancies;noch viele freie Plätze
still places available;noch Plätze frei
still the weather / also the weather;noch das Wetter
still/yet/another;noch
stomach ache;die Magenschmerzen, Pl.
the stomach/belly;der Bauch. -e
to stop;anhalten
stop (bus/tram);Haltestelle
the stop (bus/tram);die Haltestelle, -n
to stop, stops, has stopped;anhalten, hält an, hat angehalten
to stop, to quit;aufhören
stopped / quit;habe aufgehört
storm;der Sturm, -e
the story/history (singular);die Geschichte, Sg.
stove, cooker;Herd
stove/cooker;Herd
the stove/cooker, stoves;der Herd, -e
straight ahead;geradeaus
straight ahead all the way;immer geradeaus
strange, foreign;fremd
street;Straße
street festival;Straßenfest
the street festival, street festivals;das Straßenfest, -e
the street, streets;die Straße, -n
stressful;stressig
strict;streng
stroller;Kinderwagen
the stroller;der Kinderwagen, -
strong;stark
student/pupil;Schüler
the studies/study program (singular);das Studium, Sg.
to study (at university);studieren
subject, field;das Fach, -er
subject/reference;Betreff
To submit an application;Einen Antrag stellen
suburb;der Vorort, -e
suburban train/commuter rail;S-Bahn
the suburban train/commuter rail;die S-Bahn, -en
subway station;U-Bahn-Station
the subway station;die U Bahn Station, -en
subway/underground;U-Bahn
the subway/underground;die U-Bahn, -en
success;der Erfolg, -e
successor tenant, replacement tenant;der/die Nachmieter/in,-/-nen
suddenly;plötzlich
sugar;Zucker
to suggest;vorschlagen
suit;Anzug
the suit;der Anzug -e
suitable for children;für Kinder geeignet
suitable, fitting;passend
suitable/fitting;passend
suitcase;der Koffer, -
summer;Sommer
the summer;der Sommer
summer sale;Sommerschlussverkauf
sun;Sonne
the sun (singular);die Sonne, Sg
sun hour;Sonnenstunde
The sun is shining;Die Sonne scheint
sun umbrella, parasol;der Sonnenschirm, -e
Sunday;Sonntag
Sunday afternoon;Sonntagnachmittag
the Sunday, Sundays;der Sonntag, -e
sunglasses;die Sonnenbrille, -n
sunny;sonnig
sunscreen;die Sonnencreme, -s
sunshine;Sonnenschein
super/great;super
supermarket;der Supermarkt
the supermarket, supermarkets;der Supermarkt, -n
to supervise children;Kinder betreuen
to supervise/care for;betreuen
to support;unterstützen
support, promotion, funding;die Förderung, -en
sure, certain;sicher
sure, certainly;sicher
surely, certainly;bestimmt
surely, certainly, definitely;bestimmt
to surf the internet;im Internet surfen
surname/last name;Nachname
the surname/last name;der Familienname
surprise;die Überraschung, -en
sweater;Pullover
the sweater;der Pullover, -
sweatshirt;Sweatshirt
the sweatshirt;das Sweatshirt, -s
sweet/cute;süß
sweets, candy;die Süßigkeiten, Pl.
to swim;schwimmen
to swim, swims, has swum;schwimmen, schwimmt, ist geschwommen
swimming lessons;der Schwimmunterricht, Sg.
swimming pool;Schwimmbad
the swimming pool;das Schwimmbad, -er
swimwear, bathing things;die Badesachen, Pl.
swing;Schaukel
switchboard, telephone exchange;die Telefonzentrale, -n
