English;German
the town hall, city hall;das Rathaus
the track/platform;das Gleis. -e
track/platform;Gleis
tractors;Traktoren
trade office, business registration office;das Gewerbeamt, -¨er
traffic;Verkehr
traffic information, travel advisory;Verkehrshinweis
traffic jam;der Stau, -s
traffic lessons, road safety education;Verkehrsunterricht
the traffic light;die Ampel, -n
traffic light;Ampel
the traffic report, traffic reports;die Verkehrsmeldung, -en
the train;der Zug, -e
train discount card;Bahncard
to the train station;zum Bahnhof
train station;Bahnhof
to train, to work out;trainieren
training, apprenticeship;die Ausbildung, -en
the tram/streetcar;die Straßenbahn, -en
tram/streetcar;Straßenbahn
the transfer;die Überweisung, -en
to transfer (money);überweisen
to transfer (money), transfers, has transferred;überweisen, überweist, hat überwiesen
transfer form;Überweisungsformular
to transfer the membership fee;Mitgliedsbeitrag überweisen
transfer/bank transfer;Überweisung
to transport;transportieren
to travel;reisen
travel agency;Reisebüro
travel destination;das Reiseziel, -e
travel document;das Reisedokument, -e
travel guide (book or person);der Reiseführer, -
travel offer;Reiseangebot
travel time, journey time;die Reisezeit, Sg.
to travel, have traveled;fahren, sind gefahren
traveled by ship;sind mit dem Schiff gefahren
traveler;der/die Reisende, -n
Traveling by train;Unterwegs mit dem Zug
the tree;der Baum, -e
tree;Baum
the trees;die Bäume
tried on;anprobiert
trip abroad;Auslandsreise
the trip/journey;die Reise, -n
trip/journey;Fahrt
the truck;der Lkw, -s
truck (lastkraftwagen);Lkw
truck, lorry;Lkw
trumpet;Trompete
to trust;vertrauen
to try on (clothes);anprobieren
to try out/test;ausprobieren
to try/taste;probieren
Tuesday;Dienstag
Tuesday afternoon;Dienstagnachmittag
Tuesday evening;Dienstagabend
the Tuesday evening, Tuesday evenings;der Dienstagabend, -e
Tuesday morning;Dienstagvormittag
the Tuesday, Tuesdays;der Dienstag, -e
tunnel;Tunnel
to turn;abbiegen
to turn off, switch off;ausschalten
to turn off, turns off, has turned off;abbiegen, biegt ab, ist abgebogen
to turn off/park;abstellen
to turn on, switch on;einschalten
to turn on/flirt;anmachen
to turn right;nach rechts abbiegen
tutoring, extra lessons;die Nachhilfe, Sg.
twenty past;zwanzig nach
twenty to;zwanzig vor
two hours;zwei Stunden
typical;typisch
