English;German
black;schwarz
blackboard/board;Tafel
the blackboard/board, boards;die Tafel, -n
blanket;die Decke, -n
to blink/flash;blinken
to blink/use turn signal;blinken
blood values, blood test results;die Blutwerte, Pl.
to bloom, to blossom;blühen
the blouse;die Bluse, -n
blue;blau
the board, blackboard;die Tafel
boat trip on the Rhine;Schifffahrt auf dem Rhein
body part;Körperteil
bonus;Bonus
bonus booklet;Bonusheft
the bonus booklet;das Bonusheft, -e
bonuses;Boni
the book;das Buch
to book;buchen
the book, books;das Buch, -er
booked on flight;gebucht auf Flug
boredom;die Langeweile, Sg.
boring;langweilig
boring childhood;langweilige Kindheit
born;geboren
boss;Chef
the boss (male/female);der/die Chef/in, -s/-nen
both;beide
both already very active;beide schon sehr aktiv
both like dancing very much;tanzen beide sehr gern
the bottle;die Flasche
the bottle, bottles;die Flasche, -n
bouquet of flowers;der Blumenstrauß, -¨e
the boutique;die Boutique, -n
boutiques;Boutiquen
to bowl (nine-pin bowling);kegeln
box of chocolates;die Schachtel Pralinen
the box/crate, boxes;der Kasten, -
the boy;der Junge, -n
bread;das Brot
bread roll;das Brötchen
the bread, breads;das Brot, -e
break;Pause
to break down, to break;kaputt gehen
break rule(s);die Pausenregel, -n
breakdown service;der Pannendienst, -e
the breakfast;das Frühstück
Breakfast, Dinner, Morning, Lunch;Frühstück, Abendessen, Vormittag, Mittagessen
bridal couple;das Brautpaar, -
bride;die Braut, -¨e
the bridge;die Brücke, -n
bright, light;hell
to bring;bringen
to bring a little time ;bisschen Zeit mitbringen
to bring along, brings along, has brought along;mitbringen, bringt mit, hat mitgebracht
to bring, brings, has brought;bringen, bringt, hat gebracht
brochure, leaflet;der Prospekt, -e
broken;kaputt
brother;Bruder
the brother, brothers;der Bruder, -
brown;braun
building management is slow;Hausverwaltung langsam
building management, property management;Hausverwaltung
bus;Bus
the bus;der Bus, -se
bus trip;Busreise
business account;das Geschäftskonto, -konten
business card;Visitenkarte
business start-up course;der Existenzgründerkurs, -e
business trip;die Geschäftsreise, -n
busy, engaged (line);belegt
but;aber
but (1): That's so cute!;aber (1)
but (2): ... but I often have to work on weekends;aber (2)
but also;Aber auch
but also problems;aber auch Probleme
but at all / but indeed;doch gar
But how does one get;Aber wie bekommt
but it was also fun;hat aber auch Spaß gemacht
But sometimes;Aber manchmal
but sometimes strenuous;aber manchmal anstrengend
the butcher shop, butcher shops;die Metzgerei, -en
butter;Butter
to buy;kaufen
Buying clothes;Kleidung kaufen
by appointment;nach Vereinbarung
"by bus (dative after ""mit"")";dem Bus
"by car (dative after ""mit"")";dem Auto
by profession;von Beruf
"by subway (dative after ""mit"")";der U-Bahn
by the way;übrigens
by train;mit dem Zug
"by train (dative after ""mit"")";dem Zug
"by tram (dative after ""mit"")";der Straßenbahn
Bye/See you (informal);Tschüss
