English;German
the club/association, clubs;der Verein, -e
coast, coastline;die Küste, -n
the coat;der Mantel,-
cocoa/hot chocolate;Kakao
coffee;Kaffee
the coffee;der Kaffee, Sg
coffee house;Kaffeehaus
coffee machine;der Kaffeeautomat, -en
coffee with honey;Kaffee mit Honig
cold;kalt
cold (illness);Erkältung
the cold (illness);die Erkältung, -en
cold/runny nose;Schnupfen
the cold/runny nose (singular);der Schnupfen, Sg
colleague;Kollege
the colleague (female);die Kollegin,-nen
the colleague (male);der Kollege, -n
colleague, coworker;der Arbeitskollege, -n
the color, colors;die Farbe, -n
colorful/multicolored;bunt
to come;kommen
to come along;mitkommen
to come along, comes along, has come along;mitkommen, kommt mit, ist mitgekommen
to come back;zurückkommen
to come back, comes back, has come back;zurückkommen, kommt zurück, ist zurückgekommen
to come back/return;zurückkommen
to come by, to stop by;vorbeikommen
to come in;reinkommen
to come in, comes in, has come in;reinkommen, kommt rein, ist reingekommen
to come with me ;mit mir kommen
to come, comes, has come;kommen, kommt, ist gekommen
to come, I have come;kommen, ich bin gekommen
to comfort, to console;trösten
comfortable;bequem
committed, dedicated;engagiert
community center, neighborhood house;das Nachbarschaftshaus, -¨er
companies;Firmen
company meeting, staff assembly;die Betriebsversammlung, -en
company/firm;Firma
compartment, slot (also: subject);das Fach, -¨er
to complain, to make a claim;reklamieren
complaint, ailment;die Beschwerde, -n
complaint, claim;die Reklamation, -en
complete;komplett
completely white;ganz weiß
complicated;kompliziert
comprehensive school;die Gesamtschule, -n
compulsory education;die Schulpflicht, Sg.
computer;Computer
computer course;Computerkurs
the computer game;das Computerspiel. -e
computer program;das Computerprogramm, -e
computer skills;die Computerkenntnisse, Pl.
concert;Konzert
to conclude, to take out (e.g., insurance);abschließen
condition, requirement;die Bedingung, -en
condominium/owned apartment;Eigentumswohnung
the condominium/owned apartment;die Eigentumswohnung -en
confectionery/pastry shop;Konditorei
Congratulations!;Herzlichen Glückwunsch!
to connect;verbinden
to consider, to think over;überlegen (sich)
construction site;Baustelle
the construction site;die Baustelle, -n
consultation room;Sprechzimmer
consultation, advice, counseling;die Beratung, -en
contact;Kontakt
continent;Kontinent
to continue driving;weiterfahren
continuing education, advanced training;die Weiterbildung, -en
control/check;Kontrolle
conversation;Gespräch
to converse, to talk, to entertain oneself;sich unterhalten
to cook;kochen
the cook (female);die Köchin, -nen
the cook (male);der Koch, -e
cook (male/female);Koch/Köchin
cool;cool
copier, photocopier;der Kopierer, -
copy;Kopie
corn/maize;Mais
the corner;die Ecke, -n
correct, right, proper;richtig
to cost;kosten
cost of materials;die Materialkosten, Pl.
costume jewelry, fashion jewelry;Modeschmuck
cough;Husten
the cough (singular);der Husten, Sg
to count;zählen
counter, window (at a bank);der Schalter, -
the country;das Land
country/land;Land
course;Kurs
course date/appointment;Kurstermin
course fee;Kursgebühr
the course fee;die Kursgebühr, -en
The course goes from;Der Kurs geht von
course list;Kursliste
course offerings, selection of courses;das Kursangebot, -e
course room;Kursraum
cousin (female);Cousine
cousin (male);Cousin
cover letter, letter of application;das Bewerbungsschreiben, -
cows;Kühe
cozy, comfortable;gemütlich
crane operator;Kranführer
cream;Sahne
creative;kreativ
crime novel/detective story;Krimi
the crime novel/detective story, detective stories;der Krimi, -s
to cry;weinen
cucumber;Gurke
the cup;die Tasse, -n
cup/beaker;Becher
the cup/beaker, cups;der Becher, -
cupboard/wardrobe;Schrank
the cupboard/wardrobe, cupboards;der Schrank, -e
curious;neugierig
current, up-to-date;aktuell
curriculum vitae, CV, resume;der Lebenslauf, -¨e
the curtain, curtains;der Vorhang, -e
the customer (female), customers;die Kundin, -nen
the customer (male), customers;der Kunde, -n
